id,Jogador,Rodada,TotalApostado
1,player0,1,600
2,player0,2,344
3,player0,3,160
4,player0,4,1312
5,player0,5,240
6,player0,6,56
7,player0,7,632
8,player0,8,480
9,player0,9,648
10,player0,10,56
11,player0,11,624
12,player0,12,824
13,player0,13,360
14,player0,14,296
15,player0,15,304
16,player0,16,112
17,player0,17,16
18,player0,18,16
19,player0,19,8
20,player0,20,16
21,player0,21,8
22,player0,22,24
23,player0,23,8
24,player0,24,1
25,player0,25,7
26,player0,26,1
27,player0,27,1
28,player0,28,4
29,player0,29,1
30,player1,1,543
31,player1,2,282
32,player2,1,79
33,player2,2,79
34,player2,3,79
35,player2,4,79
36,player2,5,79
37,player2,6,79
38,player2,7,79
39,player2,8,79
40,player2,9,79
41,player2,10,79
42,player2,11,79
43,player2,12,79
44,player2,13,79
45,player2,14,79
46,player2,15,79
47,player2,16,79
48,player2,17,79
49,player2,18,79
50,player2,19,79
51,player2,20,79
52,player2,21,79
53,player2,22,79
54,player2,23,79
55,player2,24,79
56,player2,25,79
57,player2,26,79
58,player2,27,79
59,player2,28,79
60,player2,29,79
61,player2,30,79
62,player2,31,79
63,player2,32,79
64,player2,33,79
65,player2,34,79
66,player2,35,79
67,player2,36,79
68,player2,37,79
69,player2,38,79
70,player2,39,79
71,player2,40,79
72,player2,41,79
73,player2,42,79
74,player2,43,79
75,player2,44,79
76,player2,45,79
77,player2,46,79
78,player2,47,79
79,player2,48,79
80,player2,49,79
81,player2,50,79
82,player2,51,79
83,player2,52,79
84,player2,53,79
85,player2,54,79
86,player2,55,79
87,player2,56,79
88,player2,57,79
89,player2,58,79
90,player2,59,79
91,player2,60,79
92,player2,61,79
93,player2,62,79
94,player2,63,79
95,player2,64,79
96,player2,65,79
97,player2,66,79
98,player2,67,79
99,player2,68,79
100,player2,69,79
101,player2,70,79
102,player2,71,79
103,player2,72,79
104,player2,73,79
105,player2,74,79
106,player2,75,79
107,player2,76,79
108,player2,77,79
109,player2,78,79
110,player2,79,79
111,player2,80,79
112,player2,81,79
113,player2,82,79
114,player2,83,79
115,player2,84,79
116,player2,85,79
117,player2,86,79
118,player2,87,52
119,player3,1,100
120,player3,2,100
121,player3,3,100
122,player3,4,100
123,player3,5,100
124,player3,6,100
125,player3,7,100
126,player3,8,100
127,player3,9,100
128,player3,10,100
129,player3,11,100
130,player3,12,100
131,player3,13,100
132,player3,14,100
133,player3,15,100
134,player3,16,100
135,player3,17,100
136,player3,18,100
137,player3,19,100
138,player3,20,100
139,player3,21,83
140,player3,22,16
141,player3,23,2
142,player4,1,100
143,player4,2,100
144,player4,3,142
145,player4,4,174
146,player4,5,156
147,player4,6,190
148,player4,7,171
149,player4,8,193
150,player4,9,173
